name,woba
"Judge, Aaron",0.476
"Ohtani, Shohei",0.431
"Soto, Juan",0.421
"Tucker, Kyle",0.419
"Witt Jr., Bobby",0.41
"Alvarez, Yordan",0.402
"Guerrero Jr., Vladimir",0.398
"Ozuna, Marcell",0.395
"Rooker, Brent",0.392
"Yelich, Christian",0.391
"Pederson, Joc",0.391
"Marte, Ketel",0.391
"Carpenter, Kerry",0.39
"Wallner, Matt",0.385
"Correa, Carlos",0.385
"Henderson, Gunnar",0.381
"Harper, Bryce",0.38
"Smith, Pavin",0.377
"Grichuk, Randal",0.374
"Contreras, Willson",0.37
"Betts, Mookie",0.37
"Schwarber, Kyle",0.366
"Buxton, Byron",0.366
"Suzuki, Seiya",0.365
"Seager, Corey",0.365
"Profar, Jurickson",0.365
"Freeman, Freddie",0.365
"Ramírez, José",0.364
"Devers, Rafael",0.364
"Lindor, Francisco",0.363
"Muncy, Max",0.362
"Iglesias, Jose",0.362
"Hernández, Teoscar",0.36
"O'Neill, Tyler",0.36
"Tatis Jr., Fernando",0.359
"Contreras, William",0.359
"Edwards, Xavier",0.359
"Refsnyder, Rob",0.358
"Duran, Jarren",0.357
"Fitzgerald, Tyler",0.357
"Robles, Victor",0.357
"Vientos, Mark",0.356
"Greene, Riley",0.355
"Stallings, Jacob",0.353
"Merrill, Jackson",0.352
"Mitchell, Garrett",0.351
"Bride, Jonah",0.351
"Herrera, Iván",0.351
"De La Cruz, Elly",0.349
"Kwan, Steven",0.349
"Turner, Trea",0.349
"Bart, Joey",0.347
"Fry, David",0.347
"Santander, Anthony",0.345
"Butler, Lawrence",0.345
"Horwitz, Spencer",0.344
"Casas, Triston",0.344
"Altuve, Jose",0.344
"Reynolds, Bryan",0.343
"Walker, Christian",0.343
"Hilliard, Sam",0.342
"Wood, James",0.342
"Adames, Willy",0.342
"Happ, Ian",0.341
"Westburg, Jordan",0.34
"Chapman, Matt",0.34
"Alonso, Pete",0.34
"Soler, Jorge",0.34
"Machado, Manny",0.34
"Chourio, Jackson",0.339
"Raley, Luke",0.339
"Stephenson, Tyler",0.339
"Ramos, Heliot",0.339
"Olson, Matt",0.339
"Winker, Jesse",0.338
"Riley, Austin",0.338
"Lowe, Nathaniel",0.337
"Suárez, Eugenio",0.337
"Wade Jr., LaMonte",0.337
"Busch, Michael",0.336
"Abreu, Wilyer",0.336
"Yoshida, Masataka",0.336
"Larnach, Trevor",0.336
"Bohm, Alec",0.335
"Lowe, Brandon",0.335
"Rengifo, Luis",0.335
"Perez, Salvador",0.335
"India, Jonathan",0.333
"Solano, Donovan",0.333
"Yepez, Juan",0.333
"Donovan, Brendan",0.332
"Cruz, Oneil",0.332
"Bregman, Alex",0.331
"Nootbaar, Lars",0.331
"Cowser, Colton",0.331
"Noel, Jhonkensy",0.331
"Naylor, Josh",0.331
"Díaz, Yandy",0.331
"Neto, Zach",0.33
"Bleday, JJ",0.33
"Wong, Connor",0.33
"Stanton, Giancarlo",0.33
"O'Hearn, Ryan",0.33
"Toglia, Michael",0.329
"Diaz, Yainer",0.329
"Peralta, David",0.329
"McCarthy, Jake",0.329
"García Jr., Luis",0.328
"Miranda, Jose",0.328
"Doyle, Brenton",0.328
"Gurriel Jr., Lourdes",0.327
"Rojas, Miguel",0.327
"Turner, Justin",0.327
"Conforto, Michael",0.327
"Paredes, Isaac",0.327
"Chisholm Jr., Jazz",0.327
"Santana, Carlos",0.326
"Marsh, Brandon",0.326
"Realmuto, J.T.",0.326
"Carroll, Corbin",0.325
"Tauchman, Mike",0.325
"Burger, Jake",0.325
"Ward, Taylor",0.325
"Smith, Will",0.325
"Pasquantino, Vinnie",0.325
"Urías, Ramón",0.325
"Moreno, Gabriel",0.324
"Laureano, Ramón",0.324
"Tovar, Ezequiel",0.324
"McCutchen, Andrew",0.324
"Smith, Josh",0.323
"Arraez, Luis",0.323
"Blackmon, Charlie",0.323
"Raleigh, Cal",0.323
"Caratini, Victor",0.323
"Abrams, CJ",0.322
"Acuña Jr., Ronald",0.322
"Bellinger, Cody",0.322
"Soderstrom, Tyler",0.322
"Langford, Wyatt",0.321
"Rodríguez, Julio",0.321
"Nimmo, Brandon",0.321
"Castellanos, Nick",0.321
"Meadows, Parker",0.321
"Arozarena, Randy",0.32
"Ortiz, Joey",0.319
"d'Arnaud, Travis",0.319
"Yastrzemski, Mike",0.319
"Burleson, Alec",0.319
"Martinez, J.D.",0.318
"Lewis, Royce",0.318
"Sosa, Edmundo",0.318
"Sánchez, Jesús",0.318
"Perdomo, Geraldo",0.317
"Jeffers, Ryan",0.317
"Bell, Josh",0.317
"Vierling, Matt",0.317
"Massey, Michael",0.317
"Castro, Willi",0.317
"Mountcastle, Ryan",0.316
"Norby, Connor",0.316
"Steer, Spencer",0.316
"Schanuel, Nolan",0.315
"Cronenworth, Jake",0.315
"McMahon, Ryan",0.315
"Langeliers, Shea",0.315
"Winn, Masyn",0.315
"Wells, Austin",0.315
"Rodgers, Brendan",0.314
"Higashioka, Kyle",0.314
"Fraley, Jake",0.314
"Arenado, Nolan",0.313
"Singleton, Jon",0.313
"Hoerner, Nico",0.313
"Hoskins, Rhys",0.313
"Marte, Starling",0.313
"Torres, Gleyber",0.313
"Harris II, Michael",0.312
"O'Hoppe, Logan",0.312
"Jung, Josh",0.311
"Gonzalez, Romy",0.311
"Canha, Mark",0.31
"Mullins, Cedric",0.31
"Pages, Andy",0.31
"Lux, Gavin",0.31
"Goldschmidt, Paul",0.31
"Thomas, Lane",0.309
"Alvarez, Francisco",0.309
"Caminero, Junior",0.309
"Rutschman, Adley",0.309
"Jiménez, Leo",0.308
"Kim, Ha-Seong",0.308
"Grandal, Yasmani",0.308
"Albies, Ozzie",0.307
"Sánchez, Gary",0.307
"Gonzales, Nick",0.307
"Moore, Dylan",0.307
"Edman, Tommy",0.307
"Semien, Marcus",0.306
"Swanson, Dansby",0.306
"Andujar, Miguel",0.306
"Smith, Dominic",0.306
"Peña, Jeremy",0.305
"Calhoun, Willie",0.305
"Hamilton, David",0.305
"Friedl, TJ",0.305
"Joe, Connor",0.305
"Candelario, Jeimer",0.304
"Vaughn, Andrew",0.304
"Varsho, Daulton",0.304
"McNeil, Jeff",0.304
"McCann, Kyle",0.304
"Taylor, Tyrone",0.304
"Kelly, Carson",0.304
"Brennan, Will",0.303
"Palacios, Richie",0.303
"Díaz, Elias",0.303
"Carpenter, Matt",0.303
"Manzardo, Kyle",0.303
"Hays, Austin",0.303
"Renfroe, Hunter",0.302
"DeJong, Paul",0.302
"Lopez, Otto",0.302
"Tellez, Rowdy",0.301
"Keith, Colt",0.301
"Heyward, Jason",0.3
"Fermin, Freddy",0.3
"Bogaerts, Xander",0.3
"Rosario, Amed",0.299
"Kiner-Falefa, Isiah",0.299
"Pérez, Wenceel",0.299
"Lowe, Josh",0.299
"Alexander, Blaze",0.298
"Newman, Kevin",0.298
"Springer, George",0.298
"Benintendi, Andrew",0.298
"Kepler, Max",0.298
"Martin, Austin",0.297
"Pham, Tommy",0.297
"Kirk, Alejandro",0.297
"Clement, Ernie",0.297
"Adell, Jo",0.296
"Hill, Derek",0.296
"García, Adolis",0.296
"France, Ty",0.296
"Cave, Jake",0.295
"Schneemann, Daniel",0.295
"Stott, Bryson",0.295
"Torkelson, Spencer",0.295
"Grisham, Trent",0.295
"Bauers, Jake",0.294
"Jansen, Danny",0.294
"Kelenic, Jarred",0.294
"Turang, Brice",0.294
"Pillar, Kevin",0.293
"Frelick, Sal",0.293
"Cabrera, Oswaldo",0.292
"Melendez, MJ",0.292
"Rivera, Emmanuel",0.291
"Malloy, Justyn-Henry",0.291
"Stewart, DJ",0.29
"Young, Jacob",0.29
"Gorman, Nolan",0.29
"Sheets, Gavin",0.29
"Barnes, Austin",0.289
"Brown, Seth",0.289
"Crow-Armstrong, Pete",0.289
"Polanco, Jorge",0.288
"Perkins, Blake",0.288
"Fairchild, Stuart",0.288
"McCann, James",0.288
"Bryant, Kris",0.287
"Ibáñez, Andy",0.287
"Volpe, Anthony",0.287
"Jones, Nolan",0.287
"Isbel, Kyle",0.286
"Thaiss, Matt",0.286
"Tena, José",0.286
"Pagés, Pedro",0.286
"Dubón, Mauricio",0.286
"Rafaela, Ceddanne",0.286
"Bader, Harrison",0.286
"Mateo, Jorge",0.286
"Benson, Will",0.285
"Rizzo, Anthony",0.285
"Robert Jr., Luis",0.285
"Hernández, Enrique",0.285
"Espinal, Santiago",0.285
"Rojas, Josh",0.285
"Biggio, Cavan",0.285
"Meyers, Jake",0.285
"Rortvedt, Ben",0.284
"Kirilloff, Alex",0.284
"Amaya, Miguel",0.284
"Lee, Jung Hoo",0.284
"Trevino, Jose",0.284
"Verdugo, Alex",0.284
"Farmer, Kyle",0.283
"Toro, Abraham",0.283
"Crawford, J.P.",0.283
"Merrifield, Whit",0.283
"De La Cruz, Bryan",0.283
"Freeman, Tyler",0.283
"Grossman, Robbie",0.283
"Martínez, Angel",0.282
"Murphy, Sean",0.282
"Taveras, Leody",0.282
"Campusano, Luis",0.282
"Davis, J.D.",0.282
"Baty, Brett",0.282
"Giménez, Andrés",0.281
"Urshela, Gio",0.281
"Bailey, Patrick",0.281
"Garver, Mitch",0.281
"Schuemann, Max",0.281
"Moniak, Mickey",0.281
"Velázquez, Nelson",0.28
"Sosa, Lenyn",0.28
"Canzone, Dominic",0.28
"Morel, Christopher",0.28
"Martini, Nick",0.279
"Carter, Evan",0.278
"Caballero, José",0.277
"Schneider, Davis",0.277
"Haniger, Mitch",0.277
"Jiménez, Eloy",0.276
"Rocchio, Brayan",0.276
"Julien, Edouard",0.276
"Gelof, Zack",0.276
"Margot, Manuel",0.276
"Nevin, Tyler",0.276
"Bruján, Vidal",0.276
"Olivares, Edward",0.276
"Triolo, Jared",0.275
"Valdez, Enmanuel",0.275
"Lopez, Nicky",0.275
"Gallo, Joey",0.274
"Goodman, Hunter",0.274
"Senzel, Nick",0.273
"Slater, Austin",0.273
"Arcia, Orlando",0.273
"Wisely, Brett",0.272
"Taylor, Chris",0.272
"Gordon, Nick",0.271
"Wisdom, Patrick",0.271
"Vargas, Ildemaro",0.271
"McKinstry, Zach",0.27
"Garcia, Maikel",0.27
"Siri, Jose",0.27
"DeLuca, Jonny",0.269
"Naylor, Bo",0.269
"Rice, Ben",0.269
"Loperfido, Joey",0.268
"Duran, Ezequiel",0.268
"Walker, Jordan",0.268
"Ruiz, Keibert",0.268
"Stowers, Kyle",0.265
"Heim, Jonah",0.265
"Ramírez, Harold",0.265
"Rojas, Johan",0.265
"Rogers, Jake",0.264
"Rendon, Anthony",0.264
"Meneses, Joey",0.264
"Bichette, Bo",0.264
"Arias, Gabriel",0.263
"Guillorme, Luis",0.263
"Barger, Addison",0.262
"Flores, Wilmer",0.262
"Frazier, Adam",0.261
"Julks, Corey",0.26
"Suwinski, Jack",0.26
"McGuire, Reese",0.259
"Stubbs, Garrett",0.258
"Cameron, Daz",0.258
"Siani, Michael",0.257
"Carlson, Dylan",0.257
"McCormick, Chas",0.257
"Estrada, Thairo",0.256
"Lee, Korey",0.256
"Hayes, Ke'Bryan",0.256
"Montero, Elehuris",0.254
"Fortes, Nick",0.253
"Hampson, Garrett",0.253
"Pache, Cristian",0.252
"Lee, Brooks",0.252
"Duvall, Adam",0.252
"Holliday, Jackson",0.251
"Matos, Luis",0.25
"Vázquez, Christian",0.25
"Ahmed, Nick",0.248
"Walls, Taylor",0.245
"Marte, Noelvi",0.243
"Loftin, Nick",0.242
"Wade, Tyler",0.242
"Outman, James",0.242
"Kiermaier, Kevin",0.241
"Taylor, Michael A.",0.241
"LeMahieu, DJ",0.239
"Maile, Luke",0.238
"Jankowski, Travis",0.234
"Vargas, Miguel",0.233
"Beck, Jordan",0.231
"Lipscomb, Trey",0.231
"Rosario, Eddie",0.23
"Fletcher, Dominic",0.227
"Báez, Javier",0.224
"Scott II, Victor",0.221
"Drury, Brandon",0.217
"Anderson, Tim",0.208
"Jackson, Alex",0.2
